@relation oil_prod_data_v1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-unset-class-temporarily

@attribute Region {Anadarko,Appalachia,Bakken,'Eagle Ford',Haynesville,Niobrara,Permian}
@attribute 'Rig Count' numeric
@attribute ProdPerRig numeric
@attribute TotProd numeric
@attribute OilPrice {'\'(-inf-54.184]\'','\'(54.184-75.628]\'','\'(75.628-97.072]\'','\'(97.072-118.516]\'','\'(118.516-inf)\''}

@data
Appalachia,120,28.69,42000,'\'(97.072-118.516]\''
Appalachia,115,31,46000,'\'(75.628-97.072]\''
Appalachia,114,32.88,49000,'\'(75.628-97.072]\''
Appalachia,109,35.24,51000,'\'(75.628-97.072]\''
Appalachia,113,36.56,64000,'\'(97.072-118.516]\''
Appalachia,123,39.33,64000,'\'(97.072-118.516]\''
Appalachia,122,39.8,62000,'\'(97.072-118.516]\''
Appalachia,122,41.97,63000,'\'(75.628-97.072]\''
Appalachia,123,42.57,64000,'\'(75.628-97.072]\''
Appalachia,124,42.89,64000,'\'(97.072-118.516]\''
Appalachia,125,43.19,69000,'\'(97.072-118.516]\''
Appalachia,122,43.97,71000,'\'(97.072-118.516]\''
Appalachia,118,45.68,71000,'\'(97.072-118.516]\''
Appalachia,118,48.81,74000,'\'(97.072-118.516]\''
Appalachia,122,52.37,75000,'\'(97.072-118.516]\''
Appalachia,123,56.06,75000,'\'(97.072-118.516]\''
Appalachia,124,59.55,82000,'\'(97.072-118.516]\''
Appalachia,123,63.52,84000,'\'(97.072-118.516]\''
Appalachia,127,66.34,86000,'\'(75.628-97.072]\''
Appalachia,130,70.34,91000,'\'(75.628-97.072]\''
Appalachia,131,73.26,91000,'\'(54.184-75.628]\''
Appalachia,131,74.65,91000,'\'(-inf-54.184]\''
Appalachia,124,76.73,103000,'\'(-inf-54.184]\''
Appalachia,109,78.25,107000,'\'(-inf-54.184]\''
Appalachia,99,79.58,108000,'\'(-inf-54.184]\''
Appalachia,97,81.28,119000,'\'(54.184-75.628]\''
Appalachia,91,83.02,119000,'\'(54.184-75.628]\''
Appalachia,86,85.77,118000,'\'(54.184-75.628]\''
Appalachia,82,89.07,118000,'\'(-inf-54.184]\''
Appalachia,74,92.15,114000,'\'(-inf-54.184]\''
Appalachia,70,95.12,114000,'\'(-inf-54.184]\''
Appalachia,66,96.83,119000,'\'(-inf-54.184]\''
Appalachia,63,99.15,118000,'\'(-inf-54.184]\''
Appalachia,59,102.25,123000,'\'(-inf-54.184]\''
Appalachia,51,103.64,113000,'\'(-inf-54.184]\''
Appalachia,42,104.47,114000,'\'(-inf-54.184]\''
Appalachia,41,103.77,110000,'\'(-inf-54.184]\''
Appalachia,39,103.25,108000,'\'(-inf-54.184]\''
Appalachia,36,98.66,104000,'\'(-inf-54.184]\''
Appalachia,36,95.62,100000,'\'(-inf-54.184]\''
Appalachia,36,92.69,98000,'\'(-inf-54.184]\''
Appalachia,37,92.49,93000,'\'(-inf-54.184]\''
Appalachia,45,91.91,86000,'\'(-inf-54.184]\''
Appalachia,49,92.65,85000,'\'(-inf-54.184]\''
Appalachia,53,94.33,83000,'\'(-inf-54.184]\''
Appalachia,59,97,81000,'\'(-inf-54.184]\''
Appalachia,61,101.24,89000,'\'(-inf-54.184]\''
Appalachia,63,108.29,92000,'\'(-inf-54.184]\''
Appalachia,64,116.84,86000,'\'(-inf-54.184]\''
Appalachia,68,126.71,86000,'\'(-inf-54.184]\''
Appalachia,68,135.06,91000,'\'(-inf-54.184]\''
Appalachia,73,144.23,91000,'\'(-inf-54.184]\''
Appalachia,75,145.16,95000,'\'(-inf-54.184]\''
Appalachia,76,144.4,99000,'\'(-inf-54.184]\''
Appalachia,77,144.01,100000,'\'(-inf-54.184]\''
Appalachia,75,143.76,105000,'\'(54.184-75.628]\''
Appalachia,72,144.16,109000,'\'(54.184-75.628]\''
Appalachia,74,144.56,104000,'\'(54.184-75.628]\''
Appalachia,76,144.96,107157.83,'\'(54.184-75.628]\''
Appalachia,77,145.36,109686.07,'\'(54.184-75.628]\''
Bakken,45,111.35,132027.68,'\'(54.184-75.628]\''
Bakken,42,112.42,131832.79,'\'(54.184-75.628]\''
Bakken,44,113.3,133265.1,'\'(54.184-75.628]\''
Bakken,47,114.16,132782.93,'\'(54.184-75.628]\''
Bakken,46,114.91,137284.61,'\'(54.184-75.628]\''
Bakken,46,115.62,136141.33,'\'(54.184-75.628]\''
Bakken,53,116.31,138121.52,'\'(75.628-97.072]\''
Bakken,55,117.09,139600.9,'\'(54.184-75.628]\''
Bakken,50,118.01,140431.97,'\'(75.628-97.072]\''
Bakken,52,119.02,145072,'\'(75.628-97.072]\''
Bakken,54,119.96,143042.57,'\'(75.628-97.072]\''
Bakken,58,123.87,147262.1,'\'(75.628-97.072]\''
Bakken,55,130.86,147551.03,'\'(75.628-97.072]\''
Bakken,60,139.28,147277.93,'\'(97.072-118.516]\''
Bakken,63,148.22,152690.84,'\'(97.072-118.516]\''
Bakken,64,159,159543.97,'\'(97.072-118.516]\''
Bakken,70,171,166824.81,'\'(118.516-inf)\''
Bakken,77,183.68,176895.5,'\'(118.516-inf)\''
Bakken,75,194,181490.74,'\'(118.516-inf)\''
Bakken,76,199.21,187637.9,'\'(97.072-118.516]\''
Bakken,77,198.77,201767.13,'\'(97.072-118.516]\''
Bakken,80,194.48,216974.74,'\'(54.184-75.628]\''
Bakken,90,188.44,228551.27,'\'(54.184-75.628]\''
Bakken,87,185.48,213858.81,'\'(-inf-54.184]\''
Bakken,73,190.15,198340.32,'\'(-inf-54.184]\''
Bakken,65,203.03,203940.57,'\'(-inf-54.184]\''
Bakken,51,219.95,208099.23,'\'(-inf-54.184]\''
Bakken,42,240.61,210145.2,'\'(-inf-54.184]\''
Bakken,35,262.01,217937.39,'\'(54.184-75.628]\''
Bakken,35,283.21,225931.33,'\'(54.184-75.628]\''
Bakken,40,302.3,237815.94,'\'(54.184-75.628]\''
Bakken,44,316.75,241439.23,'\'(54.184-75.628]\''
Bakken,47,324.94,247621.1,'\'(54.184-75.628]\''
Bakken,51,326.45,250619.06,'\'(75.628-97.072]\''
Bakken,60,320.25,254239.5,'\'(75.628-97.072]\''
Bakken,66,309.63,251186.52,'\'(75.628-97.072]\''
Bakken,74,295.32,248787.97,'\'(54.184-75.628]\''
Bakken,85,280.52,271109.82,'\'(75.628-97.072]\''
Bakken,97,270.21,286173.26,'\'(75.628-97.072]\''
Bakken,101,262.42,293407.57,'\'(75.628-97.072]\''
Bakken,103,258.16,308556.29,'\'(54.184-75.628]\''
Bakken,116,254.86,323633.3,'\'(54.184-75.628]\''
Bakken,124,251.24,332604.94,'\'(75.628-97.072]\''
Bakken,134,244.11,341579.74,'\'(54.184-75.628]\''
Bakken,132,233.21,356765.37,'\'(75.628-97.072]\''
Bakken,140,220.58,356481.97,'\'(75.628-97.072]\''
Bakken,143,207.62,370138.57,'\'(75.628-97.072]\''
Bakken,148,196.48,356257.68,'\'(75.628-97.072]\''
Bakken,155,188.32,353481.48,'\'(75.628-97.072]\''
Bakken,157,185.19,360347.21,'\'(97.072-118.516]\''
Bakken,161,186.63,372242.48,'\'(97.072-118.516]\''
Bakken,168,191.89,363156.77,'\'(97.072-118.516]\''
Bakken,169,200.71,375590.19,'\'(97.072-118.516]\''
Bakken,170,211.92,397634.9,'\'(75.628-97.072]\''
Bakken,166,223.87,438846.42,'\'(75.628-97.072]\''
Bakken,184,235.67,458196.52,'\'(75.628-97.072]\''
Bakken,192,245.68,476657.2,'\'(75.628-97.072]\''
Bakken,195,253.71,504403.61,'\'(75.628-97.072]\''
Bakken,194,260.43,525065,'\'(97.072-118.516]\''
Bakken,195,265.43,549244.97,'\'(97.072-118.516]\''
Bakken,197,268.75,561533.29,'\'(97.072-118.516]\''
Bakken,200,270.37,575122.41,'\'(97.072-118.516]\''
Bakken,213,271.09,595090.06,'\'(97.072-118.516]\''
Bakken,213,272.65,630703.87,'\'(97.072-118.516]\''
Bakken,216,275.92,662871.58,'\'(75.628-97.072]\''
Bakken,218,280.66,680929.83,'\'(75.628-97.072]\''
Bakken,214,285.61,698333.35,'\'(75.628-97.072]\''
Bakken,207,290.12,727414.48,'\'(75.628-97.072]\''
Bakken,201,293.79,752732.37,'\'(75.628-97.072]\''
Bakken,199,296.6,777151.65,'\'(75.628-97.072]\''
Bakken,193,299.14,763874.63,'\'(75.628-97.072]\''
Bakken,193,302.23,796356.55,'\'(75.628-97.072]\''
Bakken,192,307.19,766119.13,'\'(97.072-118.516]\''
Bakken,188,315.48,809685.86,'\'(75.628-97.072]\''
Bakken,185,325.96,816898.39,'\'(97.072-118.516]\''
Bakken,184,339.28,825217.7,'\'(75.628-97.072]\''
Bakken,183,353.08,841729.06,'\'(75.628-97.072]\''
Bakken,184,366.9,853685.53,'\'(75.628-97.072]\''
Bakken,181,377.98,906248.48,'\'(97.072-118.516]\''
Bakken,178,384.39,944469.23,'\'(97.072-118.516]\''
Bakken,178,386.17,965674.03,'\'(97.072-118.516]\''
Bakken,179,385.5,976655.32,'\'(75.628-97.072]\''
Bakken,174,384.21,1009659.53,'\'(75.628-97.072]\''
Bakken,180,383.98,960218.65,'\'(97.072-118.516]\''
Bakken,177,384.34,967548.77,'\'(97.072-118.516]\''
Bakken,174,385.9,982084.71,'\'(97.072-118.516]\''
Bakken,181,390.4,1005091.83,'\'(97.072-118.516]\''
Bakken,184,399.21,1034473.7,'\'(97.072-118.516]\''
Bakken,180,411.13,1067066.38,'\'(97.072-118.516]\''
Bakken,174,425.19,1121160.03,'\'(97.072-118.516]\''
Bakken,179,439.65,1146114.8,'\'(97.072-118.516]\''
Bakken,189,451.78,1163724.29,'\'(97.072-118.516]\''
Bakken,194,459.61,1217306.83,'\'(75.628-97.072]\''
Bakken,191,463.72,1216347.51,'\'(75.628-97.072]\''
Bakken,189,467.46,1221835.76,'\'(54.184-75.628]\''
Bakken,182,474.51,1263559.45,'\'(-inf-54.184]\''
Bakken,161,489.66,1223781.32,'\'(-inf-54.184]\''
Bakken,123,512.84,1213805.5,'\'(-inf-54.184]\''
Bakken,101,538.61,1224046.48,'\'(-inf-54.184]\''
Bakken,86,568.93,1204000,'\'(54.184-75.628]\''
Bakken,78,596.48,1232990.83,'\'(54.184-75.628]\''
Bakken,75,618.53,1239821.2,'\'(54.184-75.628]\''
Bakken,69,634.11,1235285.12,'\'(-inf-54.184]\''
Bakken,70,645.64,1214341.58,'\'(-inf-54.184]\''
Bakken,68,655.43,1187851.56,'\'(-inf-54.184]\''
Bakken,63,661.64,1196689.03,'\'(-inf-54.184]\''
Bakken,62,665.32,1204284.93,'\'(-inf-54.184]\''
Bakken,57,670.64,1174059.25,'\'(-inf-54.184]\''
Bakken,47,687.39,1140948.22,'\'(-inf-54.184]\''
Bakken,38,714.98,1138316.2,'\'(-inf-54.184]\''
Bakken,32,753.9,1129744.61,'\'(-inf-54.184]\''
Bakken,27,814.28,1059351.1,'\'(-inf-54.184]\''
Bakken,24,885.67,1064413,'\'(-inf-54.184]\''
Bakken,24,962.51,1044201.56,'\'(-inf-54.184]\''
Bakken,27,1032.31,1045902.8,'\'(-inf-54.184]\''
Bakken,28,1087.09,998358.26,'\'(-inf-54.184]\''
Bakken,28,1123.2,987123.77,'\'(-inf-54.184]\''
Bakken,31,1142.8,1058741.93,'\'(-inf-54.184]\''
Bakken,35,1145.35,1048562.93,'\'(-inf-54.184]\''
Bakken,32,1134.69,956593.81,'\'(-inf-54.184]\''
Bakken,34,1109.02,996579.58,'\'(-inf-54.184]\''
Bakken,36,1083.49,1046328.57,'\'(-inf-54.184]\''
Bakken,41,1073.1,1035984.7,'\'(-inf-54.184]\''
Bakken,43,1079.33,1060043.18,'\'(-inf-54.184]\''
Bakken,44,1107.29,1049669.81,'\'(-inf-54.184]\''
Bakken,49,1159.89,1042897.88,'\'(-inf-54.184]\''
Bakken,53,1188.22,1059147.2,'\'(-inf-54.184]\''
Bakken,52,1213.35,1098630.15,'\'(-inf-54.184]\''
Bakken,51,1241.05,1118661.35,'\'(-inf-54.184]\''
Bakken,50,1271.74,1195326.99,'\'(54.184-75.628]\''
Bakken,48,1306.35,1206367.46,'\'(54.184-75.628]\''
Bakken,48,1340.42,1187197.18,'\'(54.184-75.628]\''
Bakken,46,1374.06,1195380.49,'\'(54.184-75.628]\''
Bakken,49,1404.57,1204501.1,'\'(54.184-75.628]\''
'Eagle Ford',51,43.78,53993.81,'\'(54.184-75.628]\''
'Eagle Ford',56,42.61,56284.68,'\'(54.184-75.628]\''
'Eagle Ford',58,41.53,54825.65,'\'(54.184-75.628]\''
'Eagle Ford',56,40.32,56723.6,'\'(54.184-75.628]\''
'Eagle Ford',55,39.13,56678.16,'\'(54.184-75.628]\''
'Eagle Ford',60,37.89,54164.87,'\'(54.184-75.628]\''
'Eagle Ford',63,36.65,53086.26,'\'(75.628-97.072]\''
'Eagle Ford',60,35.31,52999.58,'\'(54.184-75.628]\''
'Eagle Ford',60,33.9,54340.53,'\'(75.628-97.072]\''
'Eagle Ford',53,32.5,52458.32,'\'(75.628-97.072]\''
'Eagle Ford',56,31.98,53990.83,'\'(75.628-97.072]\''
'Eagle Ford',58,31.6,53310.06,'\'(75.628-97.072]\''
'Eagle Ford',55,31.89,53318.71,'\'(75.628-97.072]\''
'Eagle Ford',49,31.5,53786.1,'\'(97.072-118.516]\''
